CreditScore,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,Exited,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard_Yes,IsActiveMember_Yes,Balance_v_Sal
619,42.0,2,101348.88,0.0,1,1,0,0,0,1,1,0.0
608,41.0,1,112542.58,83807.86,1,0,0,1,0,1,1,0.7446769036217226
502,42.0,8,113931.57,159660.8,3,1,0,0,0,0,0,1.4013745268322026
699,39.0,1,93826.63,0.0,2,0,0,0,0,0,0,0.0
850,43.0,2,79084.1,125510.82,1,0,0,1,0,1,1,1.5870550464631954
645,44.0,8,149756.71,113755.78,2,1,0,1,1,0,0,0.7596038935417319
822,50.0,7,10062.8,0.0,2,0,0,0,1,1,1,0.0
376,29.0,4,119346.88,115046.74,4,1,1,0,0,0,0,0.9639693974404694
501,44.0,4,74940.5,142051.07,2,0,0,0,1,1,1,1.8955180443151567
684,27.0,2,71725.73,134603.88,1,0,0,0,1,1,1,1.876647055387237
528,31.0,6,80181.12,102016.72,2,0,0,0,1,0,0,1.2723284483928388
497,24.0,3,76390.01,0.0,2,0,0,1,1,0,0,0.0
476,34.0,10,26260.98,0.0,2,0,0,0,0,0,0,0.0
549,25.0,5,190857.79,0.0,2,0,0,0,0,0,0,0.0
635,35.0,7,65951.65,0.0,2,0,0,1,0,1,1,0.0
616,45.0,3,64327.26,143129.41,2,0,1,0,1,1,1,2.2250195329320728
653,58.0,1,5097.67,132602.88,1,1,1,0,1,0,0,26.01244882465911
549,24.0,9,14406.41,0.0,2,0,0,1,0,1,1,0.0
587,45.0,6,158684.81,0.0,1,0,0,1,1,0,0,0.0
726,24.0,6,54724.03,0.0,2,0,0,0,0,1,1,0.0
732,41.0,8,170886.17,0.0,2,0,0,0,1,1,1,0.0
636,32.0,8,138555.46,0.0,2,0,0,1,0,0,0,0.0
510,38.0,4,118913.53,0.0,1,1,0,1,0,0,0,0.0
669,46.0,3,8487.75,0.0,2,0,0,0,1,1,1,0.0
846,38.0,5,187616.16,0.0,1,0,0,0,0,1,1,0.0
577,25.0,3,124508.29,0.0,2,0,0,0,1,1,1,0.0
756,36.0,2,170041.95,136815.64,1,0,1,0,1,1,1,0.8045993356345302
571,44.0,9,38433.35,0.0,2,0,0,0,1,0,0,0.0
574,37.0,3,100191.725,141349.43,1,0,1,0,0,1,1,1.4107894639003369
411,29.0,0,53483.21,59697.17,2,0,0,0,1,1,1,1.1161852476693153
591,39.0,3,140469.38,0.0,3,1,0,1,0,0,0,0.0
533,36.0,7,156731.91,85311.7,1,0,0,0,1,1,1,0.5443160872600863
553,41.0,9,81898.81,110112.54,2,0,1,0,1,0,0,1.344494993272796
520,42.0,6,34410.55,0.0,2,0,0,1,0,1,1,0.0
722,29.0,9,142033.07,0.0,2,0,0,1,0,1,1,0.0
475,45.0,0,27822.99,134264.04,1,1,0,0,0,0,0,4.825651017378075
490,31.0,3,114066.77,145260.23,1,0,0,1,1,1,1,1.273466672195592
804,33.0,7,98453.45,76548.6,1,0,0,1,1,1,1,0.7775105900301108
850,36.0,7,40812.9,0.0,1,0,0,0,1,1,1,0.0
582,41.0,6,178074.04,70349.48,2,0,1,0,1,1,1,0.3950574716000153
472,40.0,4,70154.22,0.0,1,0,0,1,1,0,0,0.0
465,51.0,8,181297.65,122522.32,1,1,0,0,0,0,0,0.675807546319547
556,61.0,2,94153.83,117419.35,1,0,0,0,0,1,1,1.2471011535059169
834,49.0,2,194365.76,131394.56,1,1,0,0,0,0,0,0.6760170104034784
660,61.0,5,158338.39,155931.11,1,0,0,1,0,1,1,0.9847966118639957
776,32.0,4,126517.46,109421.13,2,0,1,0,0,1,1,0.8648697974176844
829,27.0,9,119708.21,112045.67,1,1,1,0,0,1,1,0.9359898539958119
637,39.0,9,117622.8,137843.8,1,1,1,0,0,1,1,1.1719139486562127
550,38.0,2,90878.13,103391.38,1,0,1,0,1,1,1,1.1376926439837616
776,37.0,2,194099.12,103769.22,2,0,1,0,0,0,0,0.5346197344944171
698,44.0,10,198059.16,116363.37,2,0,1,0,1,0,0,0.5875182445487499
585,36.0,5,86424.57,146050.97,2,0,1,0,1,0,0,1.6899241731836212
788,33.0,5,116978.19,0.0,2,0,0,0,0,0,0,0.0
655,41.0,8,164040.94,125561.97,1,1,1,0,1,0,0,0.7654306906556375
601,42.0,1,40014.76,98495.72,1,1,1,0,1,0,0,2.4614847121412198
619,43.0,1,113410.49,125211.92,1,0,0,0,1,1,1,1.1040594216637278
656,45.0,5,87107.57,127864.4,1,0,0,0,1,0,0,1.4678907929586371
725,19.0,0,45613.75,75888.2,1,0,1,0,1,0,0,1.6637132443616234
511,66.0,4,1643.11,0.0,1,1,0,1,0,0,0,0.0
614,51.0,4,46775.28,40685.92,1,0,0,0,1,1,1,0.8698167066022907
742,35.0,5,84509.57,136857.0,1,0,1,0,1,0,0,1.619426060267494
687,27.0,9,126494.82,152328.88,2,0,1,0,0,0,0,1.2042301811252034
555,33.0,1,178798.13,56084.69,2,0,0,1,1,0,0,0.3136760434798731
684,56.0,8,99398.36,78707.16,1,0,0,1,1,1,1,0.7918355997020474
603,26.0,4,92840.67,109166.37,1,0,1,0,1,1,1,1.17584642592519
751,36.0,6,27758.36,169831.46,2,0,1,0,0,1,1,6.1182094331221295
581,34.0,1,110431.51,101633.04,1,0,1,0,0,0,0,0.9203264539260578
735,43.0,10,196673.28,123180.01,2,0,1,0,1,1,1,0.6263179726295305
